交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
2018-03-01 12:06:29.953953,,100053451814,110339775100053451814,,7100053451814748699868748451840,1032151990602247859275,OS2018030112065624492,,jdpay.NATIVE,交易,,,11500,0,,,,,,京东支付,,-31,27,11469,,,,,
2018-03-01 19:09:35.992760,,100053451814,110339775100053451814,,7100053451814749125775891501056,1013151993138266930245,OS2018030119094269747,,jdpay.NATIVE,交易,,,86579,0,,,,,,京东支付,,-234,27,86345,,,,,
2018-03-01 18:14:18.509427,,100053451814,110339775100053451814,,7100053451814749070117310173184,1037151992809124976183,OS2018030118145011780,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-01 17:37:17.768896,,100053451814,110339775100053451814,,7100053451814749032859776978944,1003151992584439449082,OS2018030117372452148,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-01 13:22:02.898811,,100053451814,110339775100053451814,,7100053451814748775918828392448,1014151991055534775864,OS2018030113223478188,,jdpay.NATIVE,交易,,,260000,0,,,,,,京东支付,,-702,27,259298,,,,,
